x	LabelValueMeaning	Referentiel	url	TypeConceptualDomain	FormatConceptualDomain	IdDataElementConcept	ConceptualDomain	ObjectClass	ObjectProperty	DataElementConcept
HL7:2040-4	Korean	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2041-2	Laotian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2042-0	Malaysian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2043-8	Okinawan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2044-6	Pakistani	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2045-3	Sri Lankan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2046-1	Thai	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2047-9	Vietnamese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2048-7	Iwo Jiman	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2049-5	Maldivian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2050-3	Nepalese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2051-1	Singaporean	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2052-9	Madagascar	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2054-5	Black or African American	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2056-0	Black	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2058-6	African American	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2060-2	African	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2067-7	Bahamian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2068-5	Barbadian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2069-3	Dominican	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2070-1	Dominica Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2071-9	Haitian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2072-7	Jamaican	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2073-5	Tobagoan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2074-3	Trinidadian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2075-0	West Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2076-8	Native Hawaiian or Other Pacific Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2078-4	Polynesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2085-9	Micronesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2100-6	Melanesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2500-7	Other Pacific Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2106-3	White	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2108-9	European	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2118-8	Middle Eastern or North African	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2129-5	Arab	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
				nonEnumerated	Date	C4		Patient	BirthDate	Patient_BirthDate
				nonEnumerated	Date	C5		Patient	DeathDate	Patient_DeathDate
		FINESS geographique		nonEnumerated	String	C6		Patient	ProviderCenterId	Patient_CenterId
		FINESS geographique		nonEnumerated	String	C71		Patient	OriginCenterId	Patient_CenterId
UMLS:C0277589	Death of unknown cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0277589;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	C7	UMLS:C0007465	Patient	CauseOfDeath	Patient_CauseOfDeath
UMLS:C1707251	Other cancer	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C1707251;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	C7	UMLS:C0007465	Patient	CauseOfDeath	Patient_CauseOfDeath
UMLS:C3262234	Other cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C3262234;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	C7	UMLS:C0007465	Patient	CauseOfDeath	Patient_CauseOfDeath
UMLS:C0679861	Complications of treatment	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0679861;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	C7	UMLS:C0007465	Patient	CauseOfDeath	Patient_CauseOfDeath
UMLS:C0027651	Neoplasm	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0027651;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	C7	UMLS:C0007465	Patient	CauseOfDeath	Patient_CauseOfDeath
				nonEnumerated	Date	C8		Patient	LastNewsDate	Patient_LastNewsDate
UMLS:C2584946	Alive (finding)	UMLS		Enumerated	String	C9		Patient	LastNewsStatus	Patient_LastNewsStatus
ULMS:C1546956	Patient Outcome - Died	UMLS		Enumerated	String	C9		Patient	LastNewsStatus	Patient_LastNewsStatus
				nonEnumerated	Date	C72		Consent	Date	Consent_Date
				nonEnumerated	Boolean	C79		Consent	GeneticAnalysisAuthorization	Consent_GeneticAnalysisAuthorization
		ICD-10	http://apps.who.int/classifications/icd10/browse/2016/en	Enumerated	String	C13	ICD-10	RelatedPathology	PathologyCode	RelatedPathology_PathologyCode
				nonEnumerated	Date	C14		RelatedPathology	DiagnosisDate	RelatedPathology_DiagnosisDate
				nonEnumerated	Date	C15		RelatedPathology	PathologyEndDate	RelatedPathology_PathologyEndDate
		CIM-O-3 Topo	http://codes.iarc.fr/topography	Enumerated	String	C17	CIM-O-3 Topo	CancerHistory	TopographyCode	CancerHistory_TopographyCode
UMLS:C0037047	Sibling	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0030551	Parent	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0015671	Father	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0026591	Mother	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3844804	Paternal cousin	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3844805	Maternal cousin	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3242761	Maternal grandparent	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3242764	Paternal grandparent	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C1273524	Paternal grandmother	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C1273525	Maternal grandmother	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C1273523	Maternal grandfather	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C1273522	Paternal grandfather	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0337471	Grandparent	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0337577	Uncle	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3714276	Paternal uncle	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3714277	Maternal uncle	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0337576	Aunt	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3714274	Paternal aunt	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C3714275	Maternal aunt	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C0337580	Cousin	UMLS		Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
OSIRIS:C77-6	Other	ICGC	https://github.com/icgc-dcc/dcc-docs/blob/master/docs/dictionary/release-20/donor-family.md	Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
OSIRIS:C77-7	Unknown	ICGC	https://github.com/icgc-dcc/dcc-docs/blob/master/docs/dictionary/release-20/donor-family.md	Enumerated	String	C77	OSIRIS:FamilyCancerHistoryParentage	FamilyCancerHistory	Parentage	FamilyCancerHistory_Parentage
UMLS:C1882062 	Neoplasm	UMLS		Enumerated	String	C20	OSIRIS:EventType	TumorPathologyEvent	Type	TumorPathologyEvent_Type
UMLS:C2939419	Metastatic Malignant Neoplasm (NCI:C36263)	UMLS		Enumerated	String	C20	OSIRIS:EventType	TumorPathologyEvent	Type	TumorPathologyEvent_Type
UMLS:C0521158	Recurrent tumor	UMLS		Enumerated	String	C20	OSIRIS:EventType	TumorPathologyEvent	Type	TumorPathologyEvent_Type
UMLS:C0677930	Primary tumor	UMLS		Enumerated	String	C20	OSIRIS:EventType	TumorPathologyEvent	Type	TumorPathologyEvent_Type
				nonEnumerated	Date	C21		TumorPathologyEvent	StartDate	TumorPathologyEvent_StartDate
0	activité normale sans restriction	OMS		Enumerated	String	C22	OMS	TumorPathologyEvent	PerformanceStatus	TumorPathologyEvent_PerformanceStatus
1	restreint pour des activités physiques importantes, mais patient ambulant et capable de fournir un travail léger	OMS		Enumerated	String	C22	OMS	TumorPathologyEvent	PerformanceStatus	TumorPathologyEvent_PerformanceStatus
2	ambulant et capable de se prendre en charge, mais incapable de fournir un travail et alité pendant moins de 50 % de son temps	OMS		Enumerated	String	C22	OMS	TumorPathologyEvent	PerformanceStatus	TumorPathologyEvent_PerformanceStatus
3	capacité de prise en charge propre beaucoup plus limitée. Passe plus de 50 % de son temps au lit ou dans une chaise.	OMS		Enumerated	String	C22	OMS	TumorPathologyEvent	PerformanceStatus	TumorPathologyEvent_PerformanceStatus
4	complètement grabataire. Incapable de se prendre en charge. Le patient reste totalement confiné au lit ou dans une chaise.	OMS		Enumerated	String	C22	OMS	TumorPathologyEvent	PerformanceStatus	TumorPathologyEvent_PerformanceStatus
				nonEnumerated	Integer	C23	G8	TumorPathologyEvent	G8	TumorPathologyEvent_G8
Tx	Tx			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T0	T0			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T1	T1			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T1a	T1a			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T1b	T1b			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T1c	T1c			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T2	T2			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T3	T3			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T4	T4			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T4a	T4a			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T4b	T4b			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T4c	T4c			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
T4d	T4d			Enumerated	String	C24	OSIRIS:T_TNM	TumorPathologyEvent	T	TumorPathologyEvent_T
Nx	Nx			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
N0	N0			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
N1mi	N1mi			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
N1	N1			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
N2	N2			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
N3	N3			Enumerated	String	C25	OSIRIS:N_TNM	TumorPathologyEvent	N	TumorPathologyEvent_N
Mx	Mx			Enumerated	String	C26	OSIRIS:M_TNM	TumorPathologyEvent	M	TumorPathologyEvent_M
M0	M0			Enumerated	String	C26	OSIRIS:M_TNM	TumorPathologyEvent	M	TumorPathologyEvent_M
M1	M1			Enumerated	String	C26	OSIRIS:M_TNM	TumorPathologyEvent	M	TumorPathologyEvent_M
			UICC TNM Classification 7th edition	Enumerated	String	C27	OSIRIS:TNMVersion	TumorPathologyEvent	TNMVersion	TumorPathologyEvent_TNMVersion
c	Clinique			Enumerated	String	C28	OSIRIS:TNMType	TumorPathologyEvent	TNMType	TumorPathologyEvent_TNMType
p	Pathologique			Enumerated	String	C28	OSIRIS:TNMType	TumorPathologyEvent	TNMType	TumorPathologyEvent_TNMType
y	Après traitement neoadjuvant			Enumerated	String	C28	OSIRIS:TNMType	TumorPathologyEvent	TNMType	TumorPathologyEvent_TNMType
u	Radiologique			Enumerated	String	C28	OSIRIS:TNMType	TumorPathologyEvent	TNMType	TumorPathologyEvent_TNMType
		SBR, ...				C29	OSIRIS:HistologicalGradeType	TumorPathologyEvent	HistologicalGradeType	TumorPathologyEvent_HistologicalGradeType
						C30	OSIRIS:HistologicalGradeValue	TumorPathologyEvent	HistologicalGradeValue	TumorPathologyEvent_HistologicalGradeValue
						C31	OSIRIS:StadeType	TumorPathologyEvent	StadeType	TumorPathologyEvent_StadeType
						C32	OSIRIS:StadeValue	TumorPathologyEvent	StadeValue	TumorPathologyEvent_StadeValue
				nonEnumerated	Date	C33		TumorPathologyEvent	DiagnosisDate	TumorPathologyEvent_DiagnosisDate
		CIM-O-3 Topo	http://codes.iarc.fr/topography	Enumerated	String	C34	CIM-O-3 Topo	TumorPathologyEvent	TopographyCode	TumorPathologyEvent_TopographyCode
		CIM-O-3 Morpho	http://codes.iarc.fr/codegroup/2	Enumerated	String	C35	CIM-O-3 Morpho	TumorPathologyEvent	MorphologyCode	TumorPathologyEvent_MorphologyCode
UMLS:C0238767	Bilateral	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
UMLS:C0205091	Left	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
UMLS:C2939193	Median (qualifier value)	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
UMLS:C1272460	Not Applicable	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
UMLS:C0205090	Right	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
UMLS:C0439673	Unknown	UMLS		Enumerated	String	C36	OSIRIS:Laterality	TumorPathologyEvent	Laterality	TumorPathologyEvent_Laterality
				nonEnumerated	String	C70	OSIRIS:AnalysisCode	Analysis	Code	Analysis_Code
OSIRIS:C37-1	Biology			Enumerated	String	C37	OSIRIS:AnalysisType	Analysis	Type	Analysis_Type
OSIRIS:C37-2	Imaging			Enumerated	String	C37	OSIRIS:AnalysisType	Analysis	Type	Analysis_Type
OSIRIS:C37-3	Omic			Enumerated	String	C37	OSIRIS:AnalysisType	Analysis	Type	Analysis_Type
OSIRIS:C37-4	Pathology			Enumerated	String	C37	OSIRIS:AnalysisType	Analysis	Type	Analysis_Type
				nonEnumerated	Date	C38		Analysis	Date	Analysis_Date
				nonEnumerated	Date	C78		ResponseEvaluation	Date	Analysis_ResponseEvaluation
CR	Complete Response	RESIST v1.1		Enumerated	String	C73		ResponseEvaluation	Status	Analysis_ResponseEvaluation
PR	Partial Response	RESIST v1.1		Enumerated	String	C73		ResponseEvaluation	Status	Analysis_ResponseEvaluation
SD	Stable disease	RESIST v1.1		Enumerated	String	C73		ResponseEvaluation	Status	Analysis_ResponseEvaluation
PD	Progressive Disease	RESIST v1.1		Enumerated	String	C73		ResponseEvaluation	Status	Analysis_ResponseEvaluation
				Enumerated	String	C39		Biomarker	Code	Biomarker_Code
				nonEnumerated	String	C40		Biomarker	Value	Biomarker_Value
				nonEnumerated	String	C81		Biomarker	Unit	Biomarker_Unit
UMLS:C3665472	Chemotherapy	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0279025	Hormone therapy	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C1522449	Therapeutic radiology procedure	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0728940	Surgery	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0006098	Brachytherapy	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0021083	Immunotherapy	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0005961	Bone marrow transplant	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
UMLS:C0279694	Monoclonal antibody	UMLS		Enumerated	String	C41	OSIRIS:TreatmentType	Treatment	Type	Treatment_Type
				nonEnumerated	Integer	C74	OSIRIS:TreatmentType			
		CCAM	http://www.ameli.fr/accueil-de-la-ccam/index.php	Enumerated	String	C42	CCAM	Treatment	ActivityCode	Treatment_ActivityCode
				nonEnumerated	Date	C43		Treatment	StartDate	Treatment_StartDate
				nonEnumerated	Date	C44		Treatment	EndDate	Treatment_EndDate
				nonEnumerated	Boolean	C45		Treatment	ClinicalTrialContext	Treatment_ClinicalTrialContext
				nonEnumerated	String	C75			Treatment_ClinicalTrialName	
		NCT		nonEnumerated	String	C76			Treatment_ClinicalTrialId	
R0	No apparent residual disease	ICGC		Enumerated	String	C46	ICGC	Treatment	SurgeryResectionQuality	Treatment_SurgeryResectionQuality
R1	Microscopic residual disease	ICGC		Enumerated	String	C46	ICGC	Treatment	SurgeryResectionQuality	Treatment_SurgeryResectionQuality
R2	Gross residual disease	ICGC		Enumerated	String	C46	ICGC	Treatment	SurgeryResectionQuality	Treatment_SurgeryResectionQuality
C4				Enumerated	String	C47		Treatment	SurgeryNature	Treatment_SurgeryNature
				Enumerated	String	C48		AdverseEvent	Code	AdverseEvent_Code
				nonEnumerated	Date	C49		AdverseEvent	Date	AdverseEvent_Date
				nonEnumerated	Date	C50		AdverseEvent	EndDate	AdverseEvent_EndDate
		CTCAE (NCI)		nonEnumerated	String	C80		AdverseEvent	Grade	AdverseEvent_Grade
		ATC 5e niveau		Enumerated	String	C51	ATC 5e niveau	Drug	Code	Drug_Code
		ATC 5e niveau		Enumerated	String	C52	ATC 5e niveau	Drug	Name	Drug_Name
		MIABIS-39	https://github.com/MIABIS/miabis/wiki/Data-describing-Sample	nonEnumerated	String	C53	MIABIS-39	BiologicalSample	SampleExternalAccession	BiologicalSample_SampleExternalAccession
		MIABIS-40	https://github.com/MIABIS/miabis/wiki/Data-describing-Sample	nonEnumerated	String	C54	MIABIS-40	BiologicalSample	ParentSampleExternalAccession	BiologicalSample_ParentSampleExternalAccession
